Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),FIRST_POINT,LAST_POINT,CC2CV_POINT,UNSAFE_POINT,WARNING_POINT,BMS_CONTORL_POINT,SMB_CONTORL_POINT,SIMLATION_POINT,PLUSE_POINT,SDL_POINT,IR_POINT,BURSTMODE_POINT,RESUME_POINT,SET_VALUABLE_POINT,SET_VALUE_POINT,DYNAMIC_CONTROL_ON,CURRENT_FILTER_OFF,POWER_MANAGE_FUNCTION_ON,CURRENT_COARSETUNE_OFF,CURRENT_FINETUNE_OFF,IR_VALUE_NULL,SIMU_CLAMPDIGITVOLT_ON,CURRENT_SOFTWARECLAMP_ON,POWER_SOFTWARECLAMP_ON
35,09/06/2023 12:36:18.498,1.1666,1.1665,1,1,0,0.1814132,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
36,09/06/2023 12:36:18.502,1.1708,1.1707,1,1,0,0.1814237,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
37,09/06/2023 12:36:18.508,1.1762,1.1761,1,1,0,0.181426,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
38,09/06/2023 12:36:18.512,1.1803,1.1802,1,1,0,0.1814179,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
39,09/06/2023 12:36:18.517,1.1857,1.1856,1,1,0,0.1814117,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
40,09/06/2023 12:36:18.522,1.1906,1.1905,1,1,0,0.1814098,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
41,09/06/2023 12:36:18.527,1.1955,1.1954,1,1,0,0.1814237,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
42,09/06/2023 12:36:18.532,1.2003,1.2002,1,1,0,0.1814251,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
43,09/06/2023 12:36:18.536,1.205,1.2049,1,1,0,0.1814208,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
44,09/06/2023 12:36:18.541,1.2092,1.2091,1,1,0,0.1814151,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
45,09/06/2023 12:36:18.546,1.2145,1.2144,1,1,0,0.1814189,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
46,09/06/2023 12:36:18.550,1.2187,1.2186,1,1,0,0.1814251,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
47,09/06/2023 12:36:18.556,1.2243,1.2242,1,1,0,0.181406,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
48,09/06/2023 12:36:18.560,1.229,1.2289,1,1,0,0.1814098,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
49,09/06/2023 12:36:18.565,1.2338,1.2337,1,1,0,0.1814098,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
50,09/06/2023 12:36:18.570,1.2386,1.2385,1,1,0,0.181396,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
51,09/06/2023 12:36:18.575,1.2434,1.2433,1,1,0,0.1813917,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
52,09/06/2023 12:36:18.580,1.2482,1.2481,1,1,0,0.1813936,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
53,09/06/2023 12:36:18.585,1.2538,1.2537,1,1,0,0.1813798,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
54,09/06/2023 12:36:18.589,1.258,1.2579,1,1,0,0.1813769,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
55,09/06/2023 12:36:18.594,1.2629,1.2628,1,1,0,0.1813769,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
56,09/06/2023 12:36:18.599,1.2675,1.2674,1,1,0,0.1813765,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
57,09/06/2023 12:36:18.605,1.2732,1.2731,1,1,0,0.1813927,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
58,09/06/2023 12:36:18.609,1.2773,1.2772,1,1,0,0.1813998,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
59,09/06/2023 12:36:18.614,1.2826,1.2825,1,1,0,0.1813922,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
60,09/06/2023 12:36:18.618,1.2869,1.2868,1,1,0,0.1813993,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
61,09/06/2023 12:36:18.623,1.2916,1.2915,1,1,0,0.1813993,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
62,09/06/2023 12:36:18.628,1.2962,1.2961,1,1,0,0.1814165,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
63,09/06/2023 12:36:18.635,1.3033,1.3032,1,1,0,0.1814098,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
64,09/06/2023 12:36:18.639,1.3077,1.3076,1,1,0,0.1814322,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
65,09/06/2023 12:36:18.645,1.3132,1.3131,1,1,0,0.1814604,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
66,09/06/2023 12:36:18.649,1.3178,1.3177,1,1,0,0.1814651,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
67,09/06/2023 12:36:18.654,1.3227,1.3226,1,1,0,0.1814585,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
68,09/06/2023 12:36:18.658,1.3269,1.3268,1,1,0,0.1814547,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
69,09/06/2023 12:36:18.664,1.3324,1.3323,1,1,0,0.1814394,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
70,09/06/2023 12:36:18.668,1.337,1.3369,1,1,0,0.1814556,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
71,09/06/2023 12:36:18.673,1.3418,1.3417,1,1,0,0.1814785,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
72,09/06/2023 12:36:18.677,1.346,1.3459,1,1,0,0.1814861,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
73,09/06/2023 12:36:18.684,1.3522,1.3521,1,1,0,0.1814761,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
74,09/06/2023 12:36:18.688,1.3564,1.3563,1,1,0,0.1814585,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
75,09/06/2023 12:36:18.693,1.3617,1.3616,1,1,0,0.1814446,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
76,09/06/2023 12:36:18.698,1.3666,1.3665,1,1,0,0.1814432,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
77,09/06/2023 12:36:18.703,1.3715,1.3714,1,1,0,0.1814394,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
78,09/06/2023 12:36:18.707,1.3757,1.3756,1,1,0,0.1814346,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
79,09/06/2023 12:36:18.712,1.381,1.3809,1,1,0,0.1814466,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
80,09/06/2023 12:36:18.717,1.3853,1.3852,1,1,0,0.1814432,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
81,09/06/2023 12:36:18.722,1.3906,1.3905,1,1,0,0.1814079,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
82,09/06/2023 12:36:18.726,1.3948,1.3947,1,1,0,0.1813974,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
83,09/06/2023 12:36:18.732,1.4001,1.4,1,1,0,0.1814041,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
84,09/06/2023 12:36:18.738,1.4067,1.4066,1,1,0,0.1814284,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
85,09/06/2023 12:36:18.743,1.4114,1.4113,1,1,0,0.1814275,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
86,09/06/2023 12:36:18.748,1.4162,1.4161,1,1,0,0.1814408,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
87,09/06/2023 12:36:18.753,1.4212,1.4211,1,1,0,0.1814485,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
88,09/06/2023 12:36:18.757,1.4257,1.4256,1,1,0,0.1814518,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
89,09/06/2023 12:36:18.762,1.4307,1.4306,1,1,0,0.1814551,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
90,09/06/2023 12:36:18.766,1.4349,1.4348,1,1,0,0.1814504,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
91,09/06/2023 12:36:18.771,1.4397,1.4396,1,1,0,0.1814761,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
92,09/06/2023 12:36:18.776,1.4443,1.4442,1,1,0,0.1814866,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
93,09/06/2023 12:36:18.781,1.45,1.4499,1,1,0,0.1814938,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
94,09/06/2023 12:36:18.788,1.4562,1.4561,1,1,0,0.1814799,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
95,09/06/2023 12:36:18.793,1.4611,1.461,1,1,0,0.1814694,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
96,09/06/2023 12:36:18.797,1.4653,1.4652,1,1,0,0.1814747,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
97,09/06/2023 12:36:18.802,1.4706,1.4705,1,1,0,0.1814723,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
98,09/06/2023 12:36:18.806,1.4747,1.4746,1,1,0,0.1814814,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
99,09/06/2023 12:36:18.812,1.4801,1.48,1,1,0,0.1814919,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
100,09/06/2023 12:36:18.816,1.485,1.4849,1,1,0,0.1815019,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
101,09/06/2023 12:36:18.821,1.4899,1.4898,1,1,0,0.181488,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
102,09/06/2023 12:36:18.825,1.494,1.4939,1,1,0,0.181489,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
103,09/06/2023 12:36:18.831,1.4993,1.4992,1,1,0,0.1814966,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
104,09/06/2023 12:36:18.835,1.5035,1.5034,1,1,0,0.1815019,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
105,09/06/2023 12:36:18.841,1.5098,1.5097,1,1,0,0.1815176,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
106,09/06/2023 12:36:18.846,1.5145,1.5144,1,1,0,0.1815162,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
107,09/06/2023 12:36:18.850,1.5189,1.5188,1,1,0,0.1815147,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
108,09/06/2023 12:36:18.855,1.5235,1.5234,1,1,0,0.1815252,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
109,09/06/2023 12:36:18.861,1.5291,1.529,1,1,0,0.1815252,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
110,09/06/2023 12:36:18.865,1.5337,1.5336,1,1,0,0.1815209,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
111,09/06/2023 12:36:18.870,1.5387,1.5386,1,1,0,0.1815181,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
112,09/06/2023 12:36:18.875,1.5433,1.5432,1,1,0,0.1815076,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
113,09/06/2023 12:36:18.880,1.5482,1.5481,1,1,0,0.1815042,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
114,09/06/2023 12:36:18.884,1.5523,1.5522,1,1,0,0.181499,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
115,09/06/2023 12:36:18.890,1.5586,1.5585,1,1,0,0.1814976,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
116,09/06/2023 12:36:18.894,1.5628,1.5627,1,1,0,0.1815023,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
117,09/06/2023 12:36:18.899,1.5676,1.5675,1,1,0,0.1815028,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
118,09/06/2023 12:36:18.904,1.5723,1.5722,1,1,0,0.1814971,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
119,09/06/2023 12:36:18.909,1.5778,1.5777,1,1,0,0.1814799,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
120,09/06/2023 12:36:18.914,1.5821,1.582,1,1,0,0.1814761,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
121,09/06/2023 12:36:18.918,1.5869,1.5868,1,1,0,0.1814575,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
122,09/06/2023 12:36:18.923,1.5915,1.5914,1,1,0,0.1814733,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
123,09/06/2023 12:36:18.929,1.5972,1.5971,1,1,0,0.1814861,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
124,09/06/2023 12:36:18.933,1.6017,1.6016,1,1,0,0.181499,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
125,09/06/2023 12:36:18.938,1.6066,1.6065,1,1,0,0.1814866,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
126,09/06/2023 12:36:18.944,1.6125,1.6124,1,1,0,0.1814828,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
127,09/06/2023 12:36:18.949,1.6178,1.6177,1,1,0,0.1814675,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
128,09/06/2023 12:36:18.953,1.622,1.6219,1,1,0,0.1814713,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
